Movement,Anomaly
15799,1
10167,0
11322,1
9633,0
10346,0
10117,0
10259,0
10041,0
9621,0
11599,1
13131,1
11302,1
15230,1
13031,1
19205,1
17702,1
15798,1
17324,1
20194,1
25403,1
27373,1
23593,1
22543,1
23342,1
22381,1
19413,1
10218,0
12503,1
11443,1
11800,1
11628,1
11336,1
10244,0
10112,0
10235,0
10136,0
10190,0
10176,0
10213,0
10145,0
10193,0
10264,0
10125,0
10036,0
9978,0
10360,0
10236,0
9989,0
10311,0
10236,0
10355,0
12539,1
12438,1
15599,1
10160,0
11966,1
11507,1
11029,1
11635,1
12769,1
11278,1
12087,1
8399,0
11417,1
10854,0
10540,0
12123,1
20041,1
15994,1
17169,1
18049,1
20470,1
17729,1
17192,1
17710,1
20573,1
18881,1
20793,1
19391,1
17386,1
9665,0
9958,0
10130,0
10352,0
16266,1
12355,1
9790,0
10127,0
10075,0
10044,0
10009,0
10034,0
10152,0
10046,0
10067,0
10033,0
10075,0
9982,0
10066,0
10041,0
10036,0
10051,0
10064,0
10089,0
10046,0
10044,0
10076,0
10056,0
10055,0
10041,0
10030,0
10036,0
10021,0
10027,0
10040,0
10056,0
10053,0
10057,0
10050,0
10056,0
10036,0
10325,0
10603,0
10754,0
10192,0
10067,0
10094,0
10148,0
10068,0
10015,0
9981,0
9535,0
10058,0
9542,0
9296,0
10085,0
10090,0
9589,0
9627,0
8977,0
10012,0
8950,0
10076,0
10086,0
9442,0
9541,0
9616,0
11352,1
8588,0
10058,0
